year,month,day,temp_min,temp_max,rain_in
2025,7,1,23.89,31.67,0.57
2025,7,2,24.44,31.67,0.09
2025,7,3,23.89,30.56,1.18
2025,7,4,23.33,30.00,0.87
2025,7,5,24.44,31.67,0.07
2025,7,6,23.89,31.11,1.90
2025,7,7,24.44,33.33,0.00
2025,7,8,26.11,33.33,0.00
2025,7,9,26.67,33.33,0.00
2025,7,10,25.00,32.78,0.01
2025,7,11,25.00,32.22,0.02
2025,7,12,25.00,33.33,0.00
2025,7,13,25.56,31.11,0.00
2025,7,14,23.33,32.78,0.25
2025,7,15,23.89,31.11,0.00
2025,7,16,23.89,32.22,1.39
2025,7,17,27.78,32.78,0.00
2025,7,18,28.33,33.33,0.00
2025,7,19,27.78,32.78,0.00
2025,7,20,27.22,33.33,0.00
2025,7,21,26.67,33.33,0.00
2025,7,22,23.89,35.00,0.69
2025,7,23,23.33,32.22,1.48
2025,7,24,26.67,32.78,0.06
2025,7,25,27.78,32.78,0.00
2025,7,26,26.67,32.78,0.00
2025,7,27,26.67,33.33,0.00
2025,7,28,28.33,33.89,0.00
2025,7,29,26.67,32.78,0.34
2025,7,30,26.67,33.33,0.00
2025,7,31,27.78,34.44,0.00
